dim0,dim1,dim2,dim3,y
-4.2887,,11.8387,-1.8978,1.0
-3.3458,-0.50491,2.6328,0.53705,1.0
,3.3357,-1.3455,,1.0
0.55939,-0.3104,0.18307,0.44653,1.0
,-7.3191,,1.2289,1.0
-3.506,,,-0.75216,1.0
,-8.273,10.2646,,1.0
-1.6029,-0.38903,,1.9103,1.0
-1.2667,2.8183,-2.426,-1.8862,1.0
-0.49281,3.0605,,-2.834,1.0
0.66365,-0.045533,-0.18794,,1.0
-0.72068,-6.7583,5.8408,0.62369,1.0
,,9.682,-0.12889,1.0
-0.97325,-6.4168,5.6026,,1.0
-0.025314,-0.17383,-0.11339,,1.0
0.062525,2.9301,-3.5467,-2.6737,1.0
-5.525,6.3258,0.89768,-6.6241,1.0
-1.2943,,-0.84085,,1.0
-0.24037,,,1.2418,1.0
-1.3968,-9.6698,9.4652,-0.34872,1.0
-2.9672,-13.2869,13.4727,-2.6271,1.0
-1.1005,-7.2508,6.0139,0.36895,1.0
0.22432,-0.52147,,1.2017,1.0
0.90407,3.3708,,,1.0
-2.8619,,,-4.2629,1.0
-1.0833,-0.31247,1.2815,0.41291,1.0
-1.5681,-7.2446,6.5537,-0.1276,1.0
-2.0545,-10.8679,,,1.0
0.2346,-4.5152,2.1195,1.4448,1.0
1.581,0.86909,-2.3138,0.82412,1.0
1.5514,3.8013,-4.9143,-3.7483,1.0
-4.1479,7.1225,-0.083404,,1.0
-2.2625,,2.8127,0.48662,1.0
-1.7479,-5.823,5.8699,,1.0
-0.95923,-6.7128,4.9857,0.32886,1.0
,0.23589,,1.3258,1.0
2.2279,,,-2.1112,1.0
1.2572,4.8731,-5.2861,-5.8741,1.0
-5.3857,9.1214,-0.41929,-5.9181,1.0
,2.3445,0.52667,,1.0
,,1.7082,0.9017,1.0
-0.21888,-2.2038,-0.0954,0.56421,1.0
,,-3.3111,0.065071,1.0
,3.4288,-4.0309,-1.4259,1.0
0.11592,3.2219,,-2.8457,1.0
-3.3924,3.3564,,-3.5233,1.0
-6.1632,8.7096,-0.21621,,1.0
-4.0786,2.9239,0.87026,,1.0
-2.5899,-0.3911,0.93452,0.42972,1.0
-1.0116,-0.19038,-0.90597,,1.0
0.066129,2.4914,-2.9401,-0.62156,1.0
,,-2.4697,-0.80518,1.0
-1.5732,1.0636,-0.71232,-0.8388,1.0
-2.1668,1.5933,0.045122,,1.0
,-1.4237,2.9241,,1.0
,-6.63,10.4849,-0.42113,1.0
-4.5046,-5.8126,10.8867,-0.52846,1.0
-2.41,3.7433,-0.40215,-1.2953,1.0
0.40614,1.3492,,,1.0
-1.3887,,6.4774,,1.0
-3.7503,-13.4586,17.5932,-2.7771,1.0
,-8.3827,,-1.2823,1.0
,-0.65804,2.6842,1.1952,1.0
